date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:03	56/56	---M--	302	error ('Found')	text/html	date:Thu,%2006%20May%202021%2004:27:03%20GMT	https://app-dautien.herokuapp.com/products	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/products	(from https://app-dautien.herokuapp.com/login)
11:27:03	56/56	---M--	302	error ('Found')	text/html	date:Thu,%2006%20May%202021%2004:27:03%20GMT	https://app-dautien.herokuapp.com/products	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/products	(from https://app-dautien.herokuapp.com/order)
11:27:04	41802/41802	---M--	200	added ('OK')	image/jpeg	etag:W/%22a34a-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/1.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/1.jpg	(from https://app-dautien.herokuapp.com/order)
11:27:04	11510/11510	---M--	200	added ('OK')	image/jpeg	etag:W/%222cf6-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/2.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/2.jpg	(from https://app-dautien.herokuapp.com/order)
11:27:05	28569/28569	---M--	200	added ('OK')	image/jpeg	etag:W/%226f99-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/4.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/4.jpg	(from https://app-dautien.herokuapp.com/order)
11:27:05	348293/348293	---M--	200	added ('OK')	image/jpeg	etag:W/%2255085-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/3.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/3.jpg	(from https://app-dautien.herokuapp.com/order)
11:27:06	30238/30238	---M--	200	added ('OK')	image/jpeg	etag:W/%22761e-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/5.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/5.jpg	(from https://app-dautien.herokuapp.com/order)
11:27:06	19236/19236	---M--	200	added ('OK')	image/jpeg	etag:W/%224b24-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/6.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/6.jpg	(from https://app-dautien.herokuapp.com/order)
11:27:07	56/56	---M--	302	error ('Found')	text/html	date:Thu,%2006%20May%202021%2004:27:07%20GMT	https://app-dautien.herokuapp.com/products	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/products	(from https://app-dautien.herokuapp.com/staffs)
11:27:07	23691/23691	---M--	200	added ('OK')	image/jpeg	etag:W/%225c8b-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/staff1.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/staff1.jpg	(from https://app-dautien.herokuapp.com/staffs)
11:27:07	75821/75821	---M--	200	added ('OK')	image/jpeg	etag:W/%221282d-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/staff2.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/staff2.jpg	(from https://app-dautien.herokuapp.com/staffs)
